company_symbol,company_name,transaction_date,transaction_type,purchase_quantity,total_purchase_amount,sales_quantity,total_sales_amount
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,2025-07-21,sale,0,0.0,0,0
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,2025-07-21,sale,0,0.0,0,0
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2025-07-21,purchase,0,0.0,0,0
AHPC,Arun Valley Hydropower Development Co. Ltd.,2025-07-22,sale,0,0.0,0,0
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,2025-07-22,sale,0,0.0,0,0
HATHY,Hathway Investment Nepal Limited,2025-07-22,sale,0,0.0,0,0
HLI,Himalayan Life Insurance Limited,2025-07-22,sale,0,0.0,0,0
ICFC,ICFC Finance Limited,2025-07-22,sale,0,0.0,0,0
MFIL,Manjushree Finance Ltd.,2025-07-22,sale,0,0.0,0,0
NLG,NLG Insurance Company Ltd.,2025-07-22,sale,0,0.0,0,0
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,2025-07-22,sale,0,0.0,0,0
SBI,Nepal SBI Bank Limited,2025-07-22,sale,0,0.0,0,0
SCB,Standard Chartered Bank Limited,2025-07-22,sale,0,0.0,0,0
HATHY,Hathway Investment Nepal Limited,2025-07-23,purchase,0,0.0,0,0
ICFC,ICFC Finance Limited,2025-07-23,sale,0,0.0,0,0
LBBL,Lumbini Bikas Bank Ltd.,2025-07-23,sale,0,0.0,0,0
MFIL,Manjushree Finance Ltd.,2025-07-23,sale,0,0.0,0,0
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2025-07-23,sale,0,0.0,0,0
NICL,Nepal Insurance Co. Ltd.,2025-07-23,sale,0,0.0,0,0
NLG,NLG Insurance Company Ltd.,2025-07-23,sale,0,0.0,0,0
SBI,Nepal SBI Bank Limited,2025-07-23,sale,0,0.0,0,0
SMJC,Sagarmatha Jalabidhyut Company Limited,2025-07-23,sale,0,0.0,0,0
HATHY,Hathway Investment Nepal Limited,2025-07-24,purchase,0,0.0,0,0
